iter	Passed	Remaining
0	2	2462
1	4	2146
2	6	2018
3	7	1955
4	9	1948
5	12	1998
6	14	2010
7	16	2000
8	18	1985
9	20	2022
10	22	2031
11	24	2037
12	26	2027
13	29	2064
14	31	2080
15	34	2094
16	36	2099
17	38	2092
18	40	2090
19	43	2109
20	45	2106
21	47	2098
22	49	2097
23	51	2086
24	53	2081
25	55	2079
26	57	2080
27	60	2083
28	63	2115
29	65	2115
30	67	2110
31	69	2103
32	71	2106
33	73	2101
34	76	2100
35	78	2097
36	80	2099
37	82	2094
38	84	2088
39	86	2081
40	89	2082
41	91	2085
42	93	2081
43	96	2087
44	98	2085
45	100	2091
46	104	2112
47	106	2107
48	108	2109
49	110	2104
50	112	2098
51	114	2090
52	116	2083
53	118	2077
54	120	2074
55	122	2070
56	125	2070
57	127	2068
58	129	2062
59	131	2054
60	133	2049
61	134	2041
62	137	2042
63	139	2037
64	141	2035
65	144	2042
66	146	2038
67	148	2033
68	150	2030
69	152	2025
70	155	2036
71	157	2029
72	159	2027
73	161	2025
74	163	2020
75	165	2014
76	167	2007
77	169	2002
78	171	1996
79	172	1988
80	175	1986
81	177	1981
82	179	1980
83	181	1979
84	184	1983
85	186	1978
86	188	1977
87	190	1973
88	192	1972
89	195	1974
90	197	1975
91	200	1974
92	202	1970
93	204	1972
94	207	1974
95	209	1973
96	211	1971
97	213	1968
98	216	1969
99	218	1967
100	221	1968
101	223	1966
102	226	1969
103	228	1971
104	231	1972
105	233	1972
106	236	1972
107	238	1971
108	241	1972
109	243	1969
110	246	1971
111	248	1968
112	250	1964
113	252	1961
114	254	1958
115	256	1954
116	259	1955
117	261	1951
118	263	1954
119	266	1953
120	268	1951
121	271	1950
122	273	1948
123	275	1948
124	278	1952
125	280	1948
126	283	1945
127	285	1945
128	287	1942
129	289	1939
130	291	1936
131	296	1950
132	299	1951
133	302	1957
134	305	1960
135	308	1957
136	311	1960
137	313	1957
138	315	1954
139	317	1951
140	320	1950
141	324	1961
142	327	1964
143	330	1962
144	332	1961
145	334	1959
146	337	1956
147	339	1953
148	341	1950
149	343	1948
150	345	1945
151	348	1941
152	350	1939
153	352	1936
154	354	1935
155	357	1934
156	359	1932
157	362	1929
158	364	1928
159	366	1924
160	368	1922
161	371	1919
162	373	1918
163	375	1915
164	377	1911
165	379	1908
166	382	1909
167	385	1907
168	387	1903
169	389	1900
170	391	1897
171	393	1896
172	396	1893
173	398	1893
174	402	1896
175	404	1892
176	406	1891
177	410	1895
178	412	1892
179	414	1889
180	416	1886
181	420	1888
182	423	1889
183	425	1887
184	427	1885
185	430	1883
186	432	1880
187	434	1878
188	437	1875
189	439	1873
190	442	1872
191	444	1872
