spread_favorite,over_under_line,weather_temperature,weather_humidity,total_points,team_home_encoded,team_away_encoded,team_favorite_id_encoded
-3.0,35.0,64.0,66.0,24,3,19,19
-1.0,34.0,72.0,81.0,29,6,29,30
-6.0,35.0,65.0,77.0,18,11,5,5
-3.0,42.0,82.0,58.0,41,15,18,15
-9.0,38.0,66.0,70.0,61,17,10,17
-4.0,42.0,73.0,74.0,47,20,1,20
-6.0,38.0,73.0,46.0,51,21,7,21
-4.0,45.0,72.0,0.0,49,22,28,22
-6.0,41.0,75.0,58.0,31,24,13,24
-3.0,38.0,76.0,51.0,33,25,9,25
-7.0,40.0,70.0,60.0,48,26,30,27
-2.0,45.0,72.0,0.0,47,27,16,16
-7.0,42.0,80.0,64.0,76,0,23,0
-2.0,45.0,78.0,46.0,20,31,8,32
-3.0,40.0,76.0,86.0,19,29,17,30
-7.0,40.0,77.0,64.0,37,13,26,27
0.0,34.0,68.0,92.0,30,3,24,26
-4.0,37.0,67.0,83.0,25,5,22,5
-2.0,40.0,67.0,53.0,61,9,8,9
-4.0,38.0,64.0,78.0,36,11,10,10
-2.0,38.0,68.0,66.0,33,15,27,15
-7.0,35.0,77.0,93.0,33,19,6,19
-4.0,40.0,57.0,74.0,49,20,25,20
-8.0,49.0,69.0,78.0,58,21,1,21
-4.0,38.0,74.0,81.0,44,23,31,32
-7.0,44.0,68.0,68.0,54,16,18,16
-3.0,42.0,58.0,70.0,45,28,0,29
-4.0,44.0,62.0,80.0,23,7,30,31
-3.0,40.0,77.0,88.0,37,1,19,1
-6.0,39.0,77.0,66.0,48,5,20,5
-7.0,39.0,76.0,79.0,58,6,26,27
-4.0,38.0,76.0,70.0,33,7,15,7
-7.0,36.0,86.0,58.0,45,8,29,8
-2.0,47.0,66.0,37.0,43,9,16,9
-7.5,42.0,72.0,0.0,27,10,0,10
-7.0,35.0,72.0,0.0,37,30,13,31
-14.0,38.0,67.0,70.0,72,17,11,17
-2.0,40.0,72.0,0.0,61,22,3,22
-5.0,39.0,74.0,77.0,64,24,28,24
-4.0,40.0,62.0,74.0,45,18,31,18
-2.0,47.0,72.0,0.0,68,27,21,28
-10.0,40.0,79.0,78.0,38,25,23,25
-4.0,38.0,59.0,53.0,56,13,24,13
-2.0,42.0,54.0,64.0,31,3,18,3
-3.0,36.0,58.0,68.0,23,6,30,31
-6.0,43.0,72.0,0.0,34,10,20,10
-10.0,42.0,55.0,82.0,35,11,8,8
-6.0,42.0,58.0,59.0,31,15,16,16
-7.0,39.0,85.0,72.0,37,19,22,19
-5.0,42.0,61.0,47.0,35,23,17,17
-13.0,39.0,58.0,58.0,41,26,5,27
-3.0,50.0,60.0,78.0,37,28,1,29
-6.0,44.0,63.0,64.0,38,0,25,25
-3.0,35.0,81.0,78.0,61,29,7,30
-4.0,42.0,64.0,60.0,14,31,27,32
-4.0,48.0,53.0,51.0,37,21,9,21
-2.0,42.0,60.0,70.0,71,1,10,10
-4.0,42.0,41.0,75.0,35,7,9,7
-12.0,42.0,69.0,46.0,27,8,23,8
-7.0,38.0,39.0,65.0,23,11,6,6
-7.0,37.0,72.0,0.0,33,30,27,31
-9.0,48.0,65.0,79.0,74,17,28,17
-1.0,36.0,79.0,84.0,47,19,13,19
-8.0,46.0,45.0,60.0,40,20,26,27
-1.0,45.0,72.0,0.0,47,22,0,0
-4.0,49.0,58.0,53.0,32,24,21,21
-7.0,39.0,62.0,83.0,48,18,15,18
-7.0,35.0,54.0,59.0,38,25,31,25
-7.0,44.0,68.0,82.0,50,16,3,16
-1.0,35.0,49.0,59.0,23,5,29,30
-7.0,46.0,59.0,48.0,21,1,24,1
-3.0,40.0,49.0,74.0,29,3,13,3
-9.0,48.0,64.0,37.0,73,8,28,8
-11.0,45.0,72.0,0.0,37,10,22,10
-4.0,36.0,50.0,44.0,41,15,30,31
-3.0,38.0,38.0,62.0,20,20,5,20
-7.0,43.0,58.0,71.0,34,21,19,21
-8.0,41.0,57.0,61.0,47,23,25,25
-6.0,45.0,62.0,78.0,62,18,16,16
-13.0,40.0,44.0,71.0,33,26,6,27
-4.0,40.0,72.0,0.0,30,27,7,28
-3.0,49.0,49.0,54.0,34,0,17,17
-8.0,36.0,73.0,66.0,28,29,11,30
-6.0,35.0,61.0,33.0,37,9,31,9
-3.0,43.0,62.0,72.0,58,13,21,13
-3.0,40.0,47.0,58.0,31,5,10,10
-4.0,36.0,49.0,74.0,14,6,20,6
-9.0,37.0,46.0,66.0,47,7,11,7
-4.0,40.0,49.0,34.0,40,9,15,9
-9.0,34.0,72.0,0.0,34,30,29,31
-2.0,35.0,80.0,72.0,31,19,3,3
-3.0,44.0,72.0,0.0,55,22,1,1
-2.0,38.0,62.0,70.0,44,24,27,24
-3.0,41.0,61.0,76.0,27,25,8,25
-15.0,47.0,67.0,44.0,51,16,23,16
-9.0,50.0,55.0,76.0,48,28,17,17
-4.0,39.0,66.0,74.0,23,31,0,32
-10.0,45.0,42.0,71.0,79,26,18,27
-3.0,43.0,48.0,64.0,23,1,17,17
-8.0,41.0,45.0,47.0,27,13,0,13
-2.0,42.0,41.0,71.0,44,3,21,21
-3.0,44.0,37.0,54.0,53,7,26,27
-2.0,45.0,55.0,59.0,73,8,16,8
-1.0,36.0,35.0,54.0,19,11,20,11
-6.0,35.0,72.0,0.0,26,30,6,31
-3.0,40.0,37.0,63.0,37,15,10,15
-6.0,40.0,47.0,62.0,23,23,9,9
-4.0,44.0,57.0,82.0,47,18,27,18
-7.0,34.0,45.0,60.0,31,25,5,25
-2.0,45.0,56.0,72.0,47,28,29,30
-10.0,38.0,49.0,43.0,36,31,22,32
-1.0,37.0,47.0,52.0,31,24,19,24
-4.0,41.0,40.0,59.0,44,3,1,3
-3.0,43.0,42.0,58.0,45,6,16,16
-4.0,37.0,54.0,21.0,36,9,30,31
-9.0,42.0,72.0,0.0,30,10,28,10
-1.0,39.0,51.0,52.0,55,15,13,15
-14.0,45.0,65.0,48.0,76,17,22,17
-9.0,43.0,40.0,46.0,55,21,24,21
-7.0,42.0,58.0,56.0,26,18,19,18
-13.0,41.0,40.0,58.0,42,26,11,27
-2.0,38.0,72.0,0.0,47,27,25,25
-5.0,42.0,49.0,59.0,51,0,8,8
-7.0,39.0,67.0,70.0,43,29,23,30
-9.0,33.0,50.0,45.0,53,31,20,32
-5.0,40.0,48.0,44.0,48,7,5,7
-4.0,42.0,52.0,66.0,55,13,7,13
-3.0,34.0,58.0,52.0,56,5,31,5
-3.0,42.0,51.0,63.0,39,11,28,11
-11.0,41.0,59.0,82.0,49,17,19,17
-2.0,39.0,45.0,64.0,34,20,10,20
-9.0,43.0,72.0,0.0,55,22,25,25
-10.0,44.0,44.0,66.0,73,23,8,8
-4.0,38.0,44.0,66.0,55,24,3,3
-7.0,42.0,57.0,80.0,45,18,6,18
-9.0,45.0,61.0,86.0,33,16,9,16
-3.0,40.0,72.0,0.0,61,27,15,28
-1.0,43.0,66.0,45.0,60,0,1,1
-7.0,43.0,74.0,78.0,45,29,26,27
-3.0,43.0,72.0,0.0,72,30,21,31
-12.0,46.0,60.0,90.0,44,1,22,1
-3.0,35.0,35.0,71.0,16,5,30,31
-2.0,36.0,34.0,86.0,14,6,3,3
-9.0,44.0,44.0,82.0,52,8,0,8
-6.0,40.0,24.0,75.0,55,9,24,9
-2.0,41.0,72.0,0.0,19,10,13,13
-8.0,43.0,77.0,90.0,30,19,28,19
-4.0,37.0,35.0,64.0,68,20,29,20
-3.0,48.0,34.0,46.0,31,21,17,21
-2.0,41.0,40.0,53.0,48,23,11,11
-6.0,44.0,36.0,59.0,29,26,7,27
-8.0,46.0,60.0,37.0,27,16,15,16
-6.0,38.0,45.0,70.0,24,31,25,25
-3.0,45.0,72.0,0.0,36,27,18,18
-4.0,40.0,64.0,72.0,51,19,16,16
-7.0,38.0,47.0,62.0,45,1,5,1
-2.0,42.0,41.0,49.0,41,3,26,27
-7.0,37.0,40.0,59.0,38,7,6,7
-12.0,42.0,47.0,93.0,24,8,31,8
-4.0,40.0,34.0,70.0,56,9,27,9
-7.0,38.0,39.0,58.0,38,20,11,20
-6.0,45.0,39.0,63.0,68,21,13,21
-6.0,40.0,42.0,59.0,59,24,30,31
-6.0,43.0,37.0,69.0,17,25,18,25
-3.0,47.0,56.0,84.0,12,28,23,29
-2.0,42.0,45.0,83.0,34,0,15,0
-3.0,39.0,69.0,77.0,34,29,10,30
-10.0,47.0,72.0,0.0,34,22,17,17
-10.0,48.0,40.0,70.0,58,8,27,8
-3.0,36.0,72.0,0.0,40,10,5,10
-10.0,40.0,44.0,45.0,16,1,31,1
-3.0,40.0,43.0,52.0,52,13,3,3
